Produktnr.;Produktnavn;Varegruppe;Varegruppenavn;Original_nummer;i_nettbutikk
18-213260;"Drivaksel til Audi, Foran, Venstre & Høyre";1010;Drivaksel;"4G0407271AX, 4G0407271A, 4G0407271D, 4G0407271E, 4G0407451AX, 8R0407271, 8R0407271B, 8R0407271BX, 8R0407271F, 8R0407271G, 95B407271, 95B407271A, 95B407271B, 95B407271D, 95B407271H, 95B407271K, 95B407271F, 95B407271L, 95B407271G, 95B407271J,";ja
DR11091;"Drivaksel Audi, Framaksel Høyre";1010;Drivaksel;;
DR11090;"Drivaksel, Audi høyre";1010;Drivaksel;;
18-212751;"Drivaksel, Audi, Volkswagen, Framaksel høyre";1010;Drivaksel;"8D0407451V, 8D0407453AX, 8D0407272AP, 8D0407272BA, 8D0407272DL, 8D0407452V, 8D0407452X, 8D0407454X, 8D0407271AP, 8D0407271AP, 8D0407271BA, 8D0407271DL, 8D0407272AP, 8D0407272BA, 8D0407272DL, 8D0407451X, 8D0407451V, 8D0407452V, 8D0407452X,";ja
DR11087;"Drivaksel, Vw, Audi, Seat, Skoda, Framaksel høyre";1010;Drivaksel;;
DR11086;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11084;"Drivaksel Peugeot, Lancia, Citroen, Fiat";1010;Drivaksel;;
DR11085;"Drivaksel Peugeot, framaksel venstre";1010;Drivaksel;;
DR11083;"Drivaksel Peugeot, Framaksel Venstre";1010;Drivaksel;;
DR11082;"Drivaksel, Citroen, Peugeot, Framaksel høyre";1010;Drivaksel;;
DR11081;"Drivaksel, Citroen, Peugeot, Framaksel høyre";1010;Drivaksel;;
DR11080;"Drivaksel, Peugeot, Citroen Framaksel venstre";1010;Drivaksel;;
DR11079;"Drivaksel til Peugeot, Citroen & Mitsubishi, Foran, Venstre";1010;Drivaksel;;
DR11078;"Drivaksel, Peugeot, Framaksel, høyre";1010;Drivaksel;;
DR11077;"Drivaksel, Peugeot, Framaksel høyre";1010;Drivaksel;;
DR11076;"Drivaksel, Peugeot, Citroen, høyre";1010;Drivaksel;;
DR11075;"Drivaksel, Peugeot, Framaksel høyre";1010;Drivaksel;;
DR11074;"Drivaksel, Peugeot, Framaksel høyre med abs";1010;Drivaksel;;
DR11073;"Drivaksel, Peugeot, Citroen, Framaksel høyre";1010;Drivaksel;;
DR11072;"Drivaksel, Peugeot,e Framaksel høyre med abs";1010;Drivaksel;;
DR11071;"Drivaksel, Peugeot,e Framaksel høyre med abs";1010;Drivaksel;;
DR11070;"Drivaksel Peugeot, Citroen & Fiat, Foran, Venstre";1010;Drivaksel;;
DR11069;"Drivaksel, Peugeot, Framaksel venstre med abs";1010;Drivaksel;;
DR11068;"Drivaksel, Peugeot,e Framaksel venstre med abs";1010;Drivaksel;;
DR11067;"Drivaksel, Peugeot,e Framaksel venstre med abs";1010;Drivaksel;;
DR11066;"Drivaksel, Peugeot, Framaksel høyre med abs";1010;Drivaksel;;
DR11065;"Drivaksel til Peugeot Partner, Berlingo, 307 & C4, Foran, Høyre";1010;Drivaksel;;
DR11064;"Drivaksel, Peugeot, Framaksel venstre med abs";1010;Drivaksel;;
DR11062;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR11061;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR11060;"Drivaksel Ford, framaksel venstre";1010;Drivaksel;;
18-012800;"Drivaksel Ford, Framaksel høyre";1010;Drivaksel;"1502102, 1594943, 1683584, 1803630, 8V41-3B436-AB, 8V41-3B436-AC, 8V41-3B436-AD, 8V41-3B436-BB, 8V41-3B436-BC, BV413B436AC, BV413B436AD, RM8V413B436B1C,";ja
DR11057;"Drivaksel Ford, Framaksel venstre";1010;Drivaksel;;
DR11056;"Drivaksel Ford, Framaksel venstre";1010;Drivaksel;;
DR11055;"Drivaksel Ford, Framaksel høyre";1010;Drivaksel;;
DR11054;"Drivaksel Ford, Venstre og høyre framaksel";1010;Drivaksel;;
DR11053;"Drivaksel Ford, Framaksel venstre";1010;Drivaksel;;
DR11052;"Drivaksel Ford, Framaksel venstre";1010;Drivaksel;;
DR11051;"Drivaksel Ford, Framaksel høyre";1010;Drivaksel;;
18-011750;"Drivaksel til Ford Transit Model <-- 330, Foran, Venstre";1010;Drivaksel;"1774279, 1841533, 2009676, 2214807, 2256324, 2348206, 2364920, BK21-3B437-AA, BK21-3B437-AB, BK21-3B437-AD, BK21-3B437-AE, BK213B437AC, BK213B437AD, BK213B437AE, RMBK21-3B437-A1B, KK21-3B437-AC, 2712143,";ja
DR11049;"Drivaksel, Ford, Høyre";1010;Drivaksel;;
DR11048;"Drivaksel, Ford";1010;Drivaksel;;
DR11047;"Drivaksel, Ford, Mazda, høyre Framaksel";1010;Drivaksel;;
DR11046;"Drivaksel, Ford, Venstre";1010;Drivaksel;;
18-011880;"Drivaksel til Ford C-Max & Focus, Foran, Venstre";1010;Drivaksel;"1686592, 1774249, 1828482, 1840141, 1840142, 1840152, 1857348, 2006995, 2007001, AV61-3B437-CB, AV61-3B437-CC, BV61-3B437-TA, BV61-3B437-TB, F1F6-3B437-GA, F1F6-3B437-JA, RMAV61-3B437-C2B, RMAV61-3B437-C2C, RMBV61-3B437-T2A, F1F6-3B437-JC, 2638730,";ja
18-011800;"Drivaksel, Ford, Framaksel venstre";1010;Drivaksel;"1502118, 1594946, 1803655, 8V41-3B437-AB, 8V41-3B437-AC, RM8V413B437A1C,";ja
DR11043;"Drivaksel, Ford, Mazda, Framaksel venstre";1010;Drivaksel;;
DR11042;"Drivaksel, Ford, Mazda, Venstre Framaksel";1010;Drivaksel;;
DR11039;"Drivaksel, Ford, Framaksel venstre";1010;Drivaksel;;
DR11038;"Drivaksel, Ford, Framaksel høyre";1010;Drivaksel;;
18-012750;"Drivaksel til Ford Transit Model <-- 330, Foran, Høyre";1010;Drivaksel;"1774275, 1841532, 2009673, 2214801, 2323888, 2335507, 2348193, 2348218, BK21-3B436-AA, BK21-3B436-AB, BK21-3B436-AC, BK21-3B436-AD, BK21-3B436-AE, BK21-3B436-BD, BK21-3B436AE, BK213B436AE, KK21-3295-AA, KK21-3B436-AA, RMBK21-3B436-A1B, KK21-3B436-AC, 2712154,";ja
DR11036;"Drivaksel til Ford Transit Model 330 --> , Foran, Høyre";1010;Drivaksel;;
DR11035;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11034;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11033;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR11032;"Drivaksel Citroen, Framaksel venstre";1010;Drivaksel;;
DR11031;"Drivaksel Citroen, Peugeot, Framaksel venstre";1010;Drivaksel;;
DR11030;"Drivaksel, Citroen, Fiat Peugeot, Framaksel venstre";1010;Drivaksel;;
DR11029;"Drivaksel, Citroen, Framaksel venstre";1010;Drivaksel;;
DR11028;"Drivaksel, Citroen, Framaksel venstre";1010;Drivaksel;;
18-162850;"Drivaksel, Citroen, Peugeot, Framaksel høyre";1010;Drivaksel;"3273LR, 3273LS, 3273VH, 9656329480, 9671133680, 3273.LR, 3273.LS, 3273.VH, 8MN28, 9671133680,";ja
DR11026;"Drivaksel, Peugeot, Framaksel venstre";1010;Drivaksel;;
DR11025;"Drivaksel, Citroen, Peugeot, Venstre";1010;Drivaksel;;
DR11024;"Drivaksel, Citroen, Peugeot, Framaksel venstre";1010;Drivaksel;;
DR11023;"Drivaksel, Citroen, Fiat Peugeot, Framaksel høyre";1010;Drivaksel;;
DR11022;"Drivaksel, Peugeot, Citroen, Venstre";1010;Drivaksel;;
DR11021;"Drivaksel, Fiat Citroen, Pego framaksel høyre";1010;Drivaksel;;
DR11020;"Drivaksel til Citroen, Fiat & Peugeot, Foran, Høyre";1010;Drivaksel;;
DR11019;"SLÅTT SAMMEN MED DR11070";1010;Drivaksel;;
DR11018;"Drivaksel til Citroen, Fiat, Peugeot, Foran, Venstre";1010;Drivaksel;;
DR11017;"Drivaksel, Peugeot, Citroen, Framaksel høyre med abs";1010;Drivaksel;;
DR11016;"Drivaksel, Peugeot, Citroen, Framaksel høyre med abs";1010;Drivaksel;;
DR11015;"Drivaksel, Peugeot, Citroen, Framaksel høyre med abs";1010;Drivaksel;;
DR11014;"Drivaksel, Citroen, Peugeot, Fiat Framaksel høyre";1010;Drivaksel;;
DR11013;"Drivaksel, Citroen, Peugeot, Fiat Framaksel høyre med abs";1010;Drivaksel;;
DR11012;"Drivaksel, Citroen, Peugeot, Framaksel høyre";1010;Drivaksel;;
DR11011;"Drivaksel Renault, Framaksel venstre og høyre";1010;Drivaksel;;
DR11010;"Drivaksel Renault, Framaksel høyre";1010;Drivaksel;;
DR11009;"Drivaksel Renault, Framaksel høyre";1010;Drivaksel;;
DR11008;"Drivaksel Renault, Framaksel høyre";1010;Drivaksel;;
DR11006;"Drivaksel, Renault, Framaksel venstre";1010;Drivaksel;;
DR11005;"Drivaksel, Renault, Venstre";1010;Drivaksel;;
DR11007;"Drivaksel Renault, Framaksel venstre";1010;Drivaksel;;
DR11004;"Drivaksel, Renault, Venstre";1010;Drivaksel;;
DR11003;"Drivaksel, Renault, Nissan, Venstre, Framaksel";1010;Drivaksel;;
DR11002;"Drivaksel, Renault, Venstre";1010;Drivaksel;;
DR11001;"Drivaksel, Renault, Dacia, høyre";1010;Drivaksel;;
DR11000;"Drivaksel, Opel, Renault, Venstre";1010;Drivaksel;;
DR10999;"Drivaksel, Renault, Framaksel høyre";1010;Drivaksel;;
DR10998;"Drivaksel, Renault, Opel, Nissan, høyre fram";1010;Drivaksel;;
DR10996;"Drivaksel, Renault, høyre";1010;Drivaksel;;
DR10997;"Drivaksel, Nissan, Opel, Renault, Framaksel høyre";1010;Drivaksel;;
DR10995;"Drivaksel, Opel, Renault, Framaksel høyre";1010;Drivaksel;;
DR10994;"Drivaksel, Renault, Framaksel venstre";1010;Drivaksel;;
DR10993;"Drivaksel, Renault, høyre";1010;Drivaksel;;
DR10992;"Drivaksel, Nissan, Opel, Ranault Venstre";1010;Drivaksel;;
DR10991;"Drivaksel, Renault, Framaksel høyre";1010;Drivaksel;;
DR10990;"Drivaksel, Renault, Framaksel venstre";1010;Drivaksel;;
DR10989;"Drivaksel, Renault, Opel, Nissan, Framaksel venstre";1010;Drivaksel;;
DR10988;"Drivaksel, Renault, Opel, Framaksel venstre";1010;Drivaksel;;
DR10987;"Drivaksel, Renault, høyre";1010;Drivaksel;;
DR10986;"Drivaksel, Renault, Opel, Nissan, Framaksel venstre";1010;Drivaksel;;
DR10985;"Drivaksel, Opel Framaksel, høyre";1010;Drivaksel;;
DR10984;"Drivaksel Opel, Framaksel høyre";1010;Drivaksel;;
DR10983;"Drivaksel Opel, Framaksel høyre";1010;Drivaksel;;
DR10982;"Drivaksel Opel, Framaksel høyre";1010;Drivaksel;;
DR10981;"Drivaksel Opel, Framaksel venstre";1010;Drivaksel;;
DR10980;"Drivaksel Opel, Framaksel høyre";1010;Drivaksel;;
DR10979;"Drivaksel Opel, Framaksel høyre";1010;Drivaksel;;
DR10978;"Drivaksel, Opel, Framaksel venstre, Framaksel høyre";1010;Drivaksel;;
DR10977;"Drivaksel, Opel, Framaksel venstre";1010;Drivaksel;;
DR10976;"Drivaksel Opel framaksel høyre";1010;Drivaksel;;
DR10975;"Drivaksel, Opel, Framaksel venstre";1010;Drivaksel;;
DR10974;"Drivaksel, Opel, høyre";1010;Drivaksel;;
DR10973;"Drivaksel, Opel, høyre";1010;Drivaksel;;
DR10972;"Drivaksel, Opel, Framaksel venstre";1010;Drivaksel;;
DR10971;"Drivaksel, Opel, Venstre";1010;Drivaksel;;
DR10970;"Drivaksel, Opel, Framaksel høyre";1010;Drivaksel;;
DR10969;"Drivaksel, Opel Framaksel, Venstre";1010;Drivaksel;;
DR10968;"Drivaksel, Opel, Framaksel venstre";1010;Drivaksel;;
DR10967;"Drivaksel, Opel, Framaksel høyre";1010;Drivaksel;;
DR10966;"Drivaksel, Opel, Framaksel høyre med abs";1010;Drivaksel;;
DR10964;"Drivaksel, Opel, Framaksel høyre uten abs";1010;Drivaksel;;
DR10963;"Drivaksel, Opel, Framaksel høyre";1010;Drivaksel;;
DR10961;"Drivaksel, Opel, Framaksel høyre uten abs";1010;Drivaksel;;
DR10960;"Drivaksel, Opel, Framaksel høyre med abs";1010;Drivaksel;;
DR10959;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR10958;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR10955;"Drivaksel VW, Ford , Bakaksel høyre og venstre";1010;Drivaksel;;
DR10953;"Drivaksel Vw, Framaksel venstre";1010;Drivaksel;;
DR10951;"Drivaksel Vw, Framaksel venstre";1010;Drivaksel;;
DR10950;"Drivaksel Vw, framaksel høyre";1010;Drivaksel;;
DR10949;"Drivaksel Vw Passat, Bakaksel Høyre, Venstre";1010;Drivaksel;;
DR10948;"Drivaksel VW, Framaksel Høyre";1010;Drivaksel;;
18-211850;"Drivaksel til VW Transporter, Foran, Venstre";1010;Drivaksel;"7E0407271L, 7E0407451AX, 7E0407271AB, 7E0407271G, 7E0407271L, 7E0407271P, 7E0407451AX, 7E0407451EX, 7E0407451NX, 7LA407271E,";ja
18-211490;"Drivaksel til Volkswagen T5/T6, Framaksel, Høyre og/eller Venstre";1010;Drivaksel;"7E0407272AD, 7E0407452DX, 7H0407271AA, 7H0407271AF, 7H0407271Q, 7H0407451AX, 7H0407451DX, 7H0407451GX, 7H0407451TX,";ja
18-216250;"Drivaksel til Volkswagen T5, Foran, Høyre";1010;Drivaksel;"7E0407454CX, 7E0407454NX, 7E0407761C, 7E0407276P, 7LA407272C, 7LA407452CX,";ja
DR10944;"Drivaksel, Volkswagen, Venstre, høyre";1010;Drivaksel;;
DR10943;"Drivaksel, Volkswagen, Skoda, høyre Framaksel";1010;Drivaksel;;
DR10942;"Drivaksel, Seat, Volkswagen, Venstre";1010;Drivaksel;;
DR10941-Outlet;"Drivaksel til Volkswagen Amarok, Foran, Høyre & Venstre";1010;Drivaksel;;
DR10940;"Drivaksel, Audi, Volkswagen, Venstre høyre";1010;Drivaksel;;
DR10939;"Drivaksel, Volkswagen, Framaksel høyre";1010;Drivaksel;;
DR10938-Outlet;"Drivaksle Volkswagen, Audi, Skoda,";1010;Drivaksel;;
18-212810;"Drivaksel, Volkswagen, Framaksel høyre";1010;Drivaksel;"7E0407272AB, 7E0407272AH, 7E0407272AP, 7E0407272N, 7E0407272NV, 7E0407272NX, 7E0407272S, 7E0407452CX, 7E0407452GX, 7E0407452MX, 7E0407452TX,";ja
DR10936;"Drivaksel, Volkswagen, Framaksel høyre Automatgirkasse";1010;Drivaksel;;
DR10934;"Drivaksel, Volkswagen, Bakaksel Venstre, Bakaksel høyre";1010;Drivaksel;;
DR10933;"Drivaksel, Volkswagen, Venstre, Framaksel høyre uten ABS";1010;Drivaksel;;
DR10932-Outlet;"Drivaksel med indre drivaksel til Volkswagen T5/T6, Foran, Høyre";1010;Drivaksel;;
DR10931;"Drivaksel, Porsche Cayenne Audi, Volkswagen, Framaksel venstre / høyre";1010;Drivaksel;;
18-213021;"Drivaksel til VW T4, Foran, Høyre & Venstre m/ABS";1010;Drivaksel;"701407271P, 701407451CX, 172560335, 701407451AX, 701407271J, 701407271JV, 701407271JX, 701407271P, 701407449CX, 701407449GX, 701407451A, 701407451AX, 7D0407271D, 7D0407271P, JZW407449GX, JZW407449GX,";ja
DR10929;"Drivaksel, Volkswagen, Seat, Framaksel venstre";1010;Drivaksel;;
DR10927;"Drivaksel Nissan, framaksel venstre og høyre";1010;Drivaksel;;
DR10926;"Drivaksel til Nissan X-Trail (T30), Foran, Venstre";1010;Drivaksel;;
DR10925;"Drivaksel Nissan; Framaksel venstre og høyre";1010;Drivaksel;;
DR10924;"Drivaksel Nissan, Framaksel venstre";1010;Drivaksel;;
DR10923;"Drivaksel Nissan, Framaksel venstre";1010;Drivaksel;;
DR10922;"Drivaksel Nissan, Framaksel venstre";1010;Drivaksel;;
DR10921;"Drivaksel Nissan, Framaksel høyre";1010;Drivaksel;;
DR10920-Outlet;"Drivaksel Nissan, Renault, Framaksel høyre";1010;Drivaksel;;
DR10919;"Drivaksel Nissan, Framaksel høyre";1010;Drivaksel;;
18-062740;"Drivaksel til Nissan X-Trail, Foran, Høyre";1010;Drivaksel;"39100-JG72B, 39100JG74B,";ja
DR10916;"Drivaksel, Nissan, Framaksel venstre";1010;Drivaksel;;
DR10917;"Drivaksel, Nissan, Venstre";1010;Drivaksel;;
DR10913;"Drivaksel, Nissan, Renault, Venstre";1010;Drivaksel;;
DR10915;"Drivaksel, Nissan, høyre";1010;Drivaksel;;
DR10912;"Drivaksel, Nissan, Renault, høyre";1010;Drivaksel;;
DR10910;"Drivaksel, Nissan, Framaksel venstre";1010;Drivaksel;;
DR10911;"Drivaksel, Nissan, Framaksel høyre";1010;Drivaksel;;
DR10909;"Drivaksel, Nissan, Framaksel høyre";1010;Drivaksel;;
DR10908;"Drivaksel til Nissan Patrol, Foran, Venstre";1010;Drivaksel;;
DR10906;"Drivaksel, Nissan, Framaksel venstre, Framaksel høyre";1010;Drivaksel;;
DR10905;"Drivaksel, Nissan, Framaksel høyre";1010;Drivaksel;;
DR10904;"Drivaksel, Nissan, Framaksel venstre";1010;Drivaksel;;
DR10903;"Drivaksel, Nissan, Framaksel høyre";1010;Drivaksel;;
DR10902;"Drivaksel, Nissan, Framaksel venstre";1010;Drivaksel;;
DR10901;"Drivaksel, Nissan, Framaksel venstre, Framaksel høyre";1010;Drivaksel;;
DR10900;"Drivaksling, drivaksel Nissan Primera P10 framaksel venstre med abs";1010;Drivaksel;;
DR10899;"Drivaksel Volvo, framaksel høyre";1010;Drivaksel;;
DR10898;"Drivaksel Volvo, framaksel høyre";1010;Drivaksel;;
DR10897;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR10896;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR10895;"Drivaksel Volvo, framaksel høyre";1010;Drivaksel;;
DR10894;"Drivaksel Volvo, framaksel venstre";1010;Drivaksel;;
DR10893;"Drivaksel, Volvo, framaksel høyre";1010;Drivaksel;;
DR10892;"Drivaksel Volvo, framaksel høyre";1010;Drivaksel;;
DR10891;"Drivaksel Volvo, framaksel venstre";1010;Drivaksel;;
